type,content,alignment,name,size,visible,delay
text,"<p>Welcome! <br /> <br /> <br /> In this study, you will listen to a series of sounds and press keys to enter a response. It will take less than 60 mins to finish this experiment. <br /> Please use earphones, earbuds or headphones while completing the task. Please adjust your volume to a comfortable sound level. <br />You will begin with a questionnaire asking about your listening devices and how noisy your current environment is.</p>",center,LandingWelcome,,,
text,"<p>Good job! Ok, let's move on to the real experiment now. <br /> <br /> You won't see or hear the feedback in the following session. It is VERY IMPORTANT that you remember to select whether the LAST tone feels longer or shorter.</p>",center,PracticeBreak,,,
text,"How noisy is your current environment? (1 = Little to no noise, 5 = Very noisy)",center,logistics_noise,36px,,
text,"What instrument(s) do you play (including vocal performance)? How long have you played each one? For examples: Guitar, 6 - 9 years old; Drum, 3 - 20 years old; Vocal, 18 - 20 years old",center,musicbackground1,36px,,
text,"Have you taken any music courseworks? If so, what classes were you taking? How long have you taken them? For example: one quarter of music theory; three quarters of music history; one quarter of music appreciation.",center,musicbackground2,36px,,
text,Please let us know anything about your musical experiences that you think is important but was not addressed in the previous two questions.,center,musicbackground3,36px,,
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_1.wav,,single_300ms_early_delay_2_tone_Lab_1,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_2.wav,,single_300ms_early_delay_2_tone_Lab_2,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_3.wav,,single_300ms_early_delay_2_tone_Lab_3,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_4.wav,,single_300ms_early_delay_2_tone_Lab_4,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_5.wav,,single_300ms_early_delay_2_tone_Lab_5,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_6.wav,,single_300ms_early_delay_2_tone_Lab_6,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_7.wav,,single_300ms_early_delay_2_tone_Lab_7,,false,0.3
audio,620ddeee49655b42f1242551_300ms_early_delay_2_tone_Lab_8.wav,,single_300ms_early_delay_2_tone_Lab_8,,false,0.3
audio,620ddeee49655b42f1242551_300ms_ontime_delay_2_tone_Lab_1.wav,,single_300ms_ontime_delay_2_tone_Lab_1,,false,0.3
audio,620ddeee49655b42f1242551_300ms_ontime_delay_2_tone_Lab_2.wav,,single_300ms_ontime_delay_2_tone_Lab_2,,false,0.3
audio,620ddeee49655b42f1242551_300ms_ontime_delay_2_tone_Lab_3.wav,,single_300ms_ontime_delay_2_tone_Lab_3,,false,0.3
